slot,n_pax,mean_wait,p95_wait,p95_wait_mc_halfwidth,airport,date,plan
44,0.0,0.0,0.0,0.0,BNA,2026-06-11,rule_of_thumb
45,1.9333333333333333,0.005402420486585571,0.016178202986759514,0.018057260812584863,BNA,2026-06-11,rule_of_thumb
0,416.8666666666667,2.6732260843931365e-05,0.0,0.0,BNA,2026-06-11,flat_feasible
1,700.0333333333333,0.0008766478909102442,0.002940956916251113,0.0035887902659634506,BNA,2026-06-11,flat_feasible
2,952.4333333333333,0.016023054712207985,0.10489512700272079,0.03694495243751225,BNA,2026-06-11,flat_feasible
3,1114.0333333333333,0.11513735357818515,0.4978536253771217,0.13865097005545984,BNA,2026-06-11,flat_feasible
4,1237.0,0.5793144270406423,1.4166999719105002,0.3439285830263942,BNA,2026-06-11,flat_feasible
5,1400.6666666666667,2.451217044659623,4.2648277206910485,0.7527812159761231,BNA,2026-06-11,flat_feasible
6,1428.4,6.293605794309703,8.023806226957802,0.9737696705605641,BNA,2026-06-11,flat_feasible
7,1304.7,8.534192689324902,9.674096739921328,1.1538656804196576,BNA,2026-06-11,flat_feasible
8,1131.2,6.972419059674819,8.44559589896586,1.2866781189880117,BNA,2026-06-11,flat_feasible
9,968.8,2.6277611670000685,4.812428174734804,1.236047635549729,BNA,2026-06-11,flat_feasible
10,1032.9333333333334,0.23437335431520406,0.7567287544962109,0.4455528783594824,BNA,2026-06-11,flat_feasible
11,1226.0333333333333,0.3411813480896119,0.9394568497288575,0.18028745422849446,BNA,2026-06-11,flat_feasible
12,1228.3666666666666,0.9273445552616776,1.7449922985553141,0.337921206823655,BNA,2026-06-11,flat_feasible
13,1043.6,0.2905117282867128,0.8776019360488722,0.3494540700534696,BNA,2026-06-11,flat_feasible
14,937.1666666666666,0.016217142192889115,0.10901546827673593,0.02312206195872537,BNA,2026-06-11,flat_feasible
15,895.5,0.01483317803544294,0.10001763129402028,0.0397819468281839,BNA,2026-06-11,flat_feasible
16,955.2333333333333,0.02043874481521697,0.14335300404578138,0.050291632974018924,BNA,2026-06-11,flat_feasible
17,1039.6,0.06952918584691097,0.3876461097603672,0.09004738354744776,BNA,2026-06-11,flat_feasible
18,1069.4333333333334,0.06849338664636886,0.31789009670288265,0.10024756609876637,BNA,2026-06-11,flat_feasible
19,1001.8,0.053024095800621486,0.24484476462488516,0.11456696268520412,BNA,2026-06-11,flat_feasible
20,888.6333333333333,0.018563953638748854,0.12384927333598751,0.075983926555872,BNA,2026-06-11,flat_feasible
21,755.3666666666667,0.004219251774890662,0.030321397573353896,0.019387934786363983,BNA,2026-06-11,flat_feasible
22,681.7666666666667,0.00048136027105668503,0.00010449593302837454,0.00020480826531458604,BNA,2026-06-11,flat_feasible
23,701.6666666666666,0.0015048951230264185,0.008694565149656337,0.00814446991247179,BNA,2026-06-11,flat_feasible
24,741.1333333333333,0.0017211192825775815,0.007124114134729572,0.007413072336076921,BNA,2026-06-11,flat_feasible
25,782.3666666666667,0.002579096347284218,0.013081648871015103,0.010886267448441882,BNA,2026-06-11,flat_feasible
26,809.9333333333333,0.005758864128314902,0.04401261607367277,0.022244131512534134,BNA,2026-06-11,flat_feasible
27,811.6333333333333,0.0026456793444784386,0.015401148091114902,0.011469620270326372,BNA,2026-06-11,flat_feasible
28,833.9666666666667,0.009759382130613567,0.07065996619198509,0.06548685958873267,BNA,2026-06-11,flat_feasible
29,840.2666666666667,0.0035635383812840566,0.025003300960554847,0.00825186784812983,BNA,2026-06-11,flat_feasible
30,764.8,0.003888511727974724,0.024712278719899044,0.033685734240506235,BNA,2026-06-11,flat_feasible
31,641.4333333333333,0.0003339086524537159,0.0,0.0,BNA,2026-06-11,flat_feasible
32,524.1,0.00020359180354358937,0.0,0.0,BNA,2026-06-11,flat_feasible
33,394.9,3.755252886106531e-07,0.0,0.0,BNA,2026-06-11,flat_feasible
34,281.73333333333335,0.0,0.0,0.0,BNA,2026-06-11,flat_feasible
35,310.06666666666666,0.0,0.0,0.0,BNA,2026-06-11,flat_feasible
36,323.8333333333333,0.0,0.0,0.0,BNA,2026-06-11,flat_feasible
37,257.6333333333333,0.0,0.0,0.0,BNA,2026-06-11,flat_feasible
38,98.23333333333333,0.0,0.0,0.0,BNA,2026-06-11,flat_feasible
39,2.3666666666666667,0.0,0.0,0.0,BNA,2026-06-11,flat_feasible
40,0.0,0.0,0.0,0.0,BNA,2026-06-11,flat_feasible
41,0.0,0.0,0.0,0.0,BNA,2026-06-11,flat_feasible
42,0.0,0.0,0.0,0.0,BNA,2026-06-11,flat_feasible
43,0.0,0.0,0.0,0.0,BNA,2026-06-11,flat_feasible
44,0.0,0.0,0.0,0.0,BNA,2026-06-11,flat_feasible
45,1.8,0.0,0.0,0.0,BNA,2026-06-11,flat_feasible
0,421.2,0.0,0.0,0.0,BNA,2026-06-11,peak_everywhere
1,703.3,0.0003299613204975469,0.0,0.0,BNA,2026-06-11,peak_everywhere
2,960.1,0.006858837836736073,0.04624827983429749,0.024294186725694205,BNA,2026-06-11,peak_everywhere
3,1103.8,0.018649985849637025,0.12662615733951982,0.040070884422241826,BNA,2026-06-11,peak_everywhere
4,1240.8666666666666,0.12295681932120099,0.5012886908628189,0.16553320020508466,BNA,2026-06-11,peak_everywhere
5,1404.3333333333333,0.5585572794611541,1.2320734106862425,0.276488557900004,BNA,2026-06-11,peak_everywhere
6,1427.7333333333333,0.9687441070145713,1.8106992060774363,0.27889702624961366,BNA,2026-06-11,peak_everywhere
7,1303.0333333333333,0.5799628985210188,1.3463990938895924,0.34711244566323507,BNA,2026-06-11,peak_everywhere
8,1134.3333333333333,0.029110969723338032,0.1803304924546527,0.061258369449899944,BNA,2026-06-11,peak_everywhere
9,964.1,0.005326841164724229,0.03987114389803656,0.0164002749445514,BNA,2026-06-11,peak_everywhere
10,1029.2666666666667,0.014001458544457534,0.08214510455325766,0.04381493828104427,BNA,2026-06-11,peak_everywhere
11,1240.3333333333333,0.10077605522741172,0.44780518667425157,0.09851642760015407,BNA,2026-06-11,peak_everywhere
12,1231.7666666666667,0.07939292615888142,0.35147289658325104,0.08176031428979633,BNA,2026-06-11,peak_everywhere
13,1039.3666666666666,0.02050142044772208,0.1392808476236058,0.0582081973434286,BNA,2026-06-11,peak_everywhere
14,937.6,0.0030924698735714327,0.019891730676589333,0.014342268103034381,BNA,2026-06-11,peak_everywhere
15,903.4,0.0025122095469118358,0.014621415648589188,0.01099056121488111,BNA,2026-06-11,peak_everywhere
16,946.3666666666667,0.004862691108120935,0.03404250545690969,0.01866256582322514,BNA,2026-06-11,peak_everywhere
17,1045.4666666666667,0.016698129104805996,0.11360523361364956,0.040410281163949194,BNA,2026-06-11,peak_everywhere
18,1070.6,0.013797520189414268,0.09357203797527301,0.03767892156861732,BNA,2026-06-11,peak_everywhere
19,1009.6333333333333,0.006600874906981287,0.04800545924185121,0.012977242276444464,BNA,2026-06-11,peak_everywhere
20,884.5666666666667,0.001612597575414165,0.006480005067976244,0.00804383793222671,BNA,2026-06-11,peak_everywhere
21,761.4666666666667,0.00029953264016332174,0.0,0.0,BNA,2026-06-11,peak_everywhere
22,678.3,0.00020415314862178542,0.0,0.0,BNA,2026-06-11,peak_everywhere
23,686.6,0.00017893019091924712,0.0,0.0,BNA,2026-06-11,peak_everywhere
24,746.5,0.0003839710917715919,0.0001298678826132445,0.0002545363727301669,BNA,2026-06-11,peak_everywhere
25,784.8,0.0007193661488198894,0.0006448557159099736,0.0012638939787049397,BNA,2026-06-11,peak_everywhere
26,812.7333333333333,0.0005613115372167587,0.00011561133210609977,0.00022659404718582973,BNA,2026-06-11,peak_everywhere
